,Gene.title,P.Value
633,laccase domain containing 1,0.89
634,laccase domain containing 1,0.194
635,TAPT1 antisense RNA 1 (head to head),0.837
636,chromosome 3 open reading frame 30,0.0341
637,RAN binding protein 3 like,0.52
638,sorting nexin 13,0.000715
639,lysine demethylase 1B,0.0281
640,ATPase H+ transporting V0 subunit d2,0.194
641,ATPase H+ transporting V0 subunit d2,0.685
642,ATPase H+ transporting V0 subunit d2,0.197
643,LIM homeobox 4,0.176
644,LIM homeobox 4,0.873
645,centrosomal protein 19,0.00137
646,dynein axonemal heavy chain 11,0.53
647,proline and serine rich 3,0.152
648,ADP-ribosylhydrolase like 1,0.0138
649,"synergin, gamma",0.982
650,cadherin 24,0.122
651,Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase,0.015
652,glutamate ionotropic receptor kainate type subunit 5,0.251
653,leucine rich repeat neuronal 4,0.00709
654,leucine rich repeat neuronal 4,0.0743
655,zinc finger protein 777,0.0258
656,junctophilin 2,0.51
657,phosphodiesterase 5A,0.083
658,SH2 domain containing 1B,0.00403
659,SH2 domain containing 1B,0.331
660,somatostatin receptor 3,0.77
661,ADAM metallopeptidase with thrombospondin type 1 motif 19,0.287
662,ADAM metallopeptidase with thrombospondin type 1 motif 19,0.747
663,DEAD-box helicase 31,0.749
664,uromodulin like 1,0.00846
665,RAS and EF-hand domain containing,5.04e-05
666,RAS and EF-hand domain containing,7.52e-05
667,par-3 family cell polarity regulator beta,0.253
668,par-3 family cell polarity regulator beta,0.112
669,dystonin,0.149
670,zinc finger protein 441,0.0516
671,zinc finger protein 441,0.00219
672,neuronal growth regulator 1,0.512
673,Fc receptor like 3,0.346
674,DDB1 and CUL4 associated factor 4 like 2,0.542
675,DDB1 and CUL4 associated factor 4 like 2,0.536
676,storkhead box 1,0.41
677,C20orf166 antisense RNA 1,0.212
678,C20orf166 antisense RNA 1,0.0185
679,ADP ribosylation factor like GTPase 10,0.132
680,ADP ribosylation factor like GTPase 10,0.468
681,"ring finger protein, transmembrane 2",0.256
682,ankyrin repeat and fibronectin type III domain containing 1,0.15
683,keratin 78,0.307
684,keratin 78,0.208
685,coiled-coil domain containing 7,0.132
686,coiled-coil domain containing 7,0.000722
687,zinc finger protein 41,1.28e-05
688,zinc finger protein 41,2.43e-06
689,zinc finger protein 512,0.256
690,"Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1",0.00016
691,family with sequence similarity 117 member B,0.387
692,zinc finger protein 583,0.523
693,oxoeicosanoid receptor 1,0.315
694,leucine zipper protein 1,0.25
695,zinc finger protein 75D,5.73e-06
696,long intergenic non-protein coding RNA 52,0.131
697,bromodomain and WD repeat domain containing 1,2.87e-05
698,coiled-coil domain containing 89,0.535
699,zinc finger protein 572,0.472
700,regulator of microtubule dynamics 2,0.629
701,ADAM metallopeptidase with thrombospondin type 1 motif 18,0.349
702,"protocadherin alpha subfamily C, 1",0.532
703,"protocadherin alpha subfamily C, 1",0.94
704,homeodomain interacting protein kinase 4,0.121
705,family with sequence similarity 124 member A,0.554
706,Na+/K+ transporting ATPase interacting 3,0.878
707,inter-alpha-trypsin inhibitor heavy chain family member 5,0.666
708,Fanconi anemia complementation group B,0.364
709,protein-O-mannose kinase,0.101
710,zinc finger protein 709,0.851
711,coiled-coil domain containing 57,0.0162
712,structural maintenance of chromosomes 1B,0.835
713,bromodomain and WD repeat domain containing 3,0.0694
714,ankyrin repeat and SOCS box containing 16,0.208
715,MAGE family member E2,0.213
716,endogenous retrovirus group V member 1,0.772
717,galactose-3-O-sulfotransferase 3,0.832
718,uncharacterized protein FLJ30679,0.88
719,amyotrophic lateral sclerosis 2 chromosome region candidate 11,0.919
720,amyotrophic lateral sclerosis 2 chromosome region candidate 11,0.836
721,urotensin 2 receptor,0.227
722,USH1 protein network component sans,0.219
723,synapsin I,0.0037
724,solute carrier family 23 member 3,0.387
725,CCR4-NOT transcription complex subunit 6 like,0.843
726,CCR4-NOT transcription complex subunit 6 like,0.0848
727,rhomboid like 3,0.632
728,zinc finger protein 718,0.204
729,disco interacting protein 2 homolog B,0.294
730,solute carrier family 36 member 1,0.118
731,small nuclear ribonucleoprotein U11/U12 subunit 48,0.753
732,,0.463
733,zinc finger protein 560,0.0854
734,rotatin,0.0539
735,butyrophilin like 9,0.811
736,pseudouridylate synthase 10,0.0173
737,phosphatidylinositol specific phospholipase C X domain containing 2,0.126
738,UMODL1 antisense RNA 1,0.29
739,leishmanolysin like peptidase,0.061
740,RAD9 checkpoint clamp component B,0.147
741,zinc finger protein 555,4.08e-06
742,neuronal tyrosine phosphorylated phosphoinositide-3-kinase adaptor 1,0.172
743,uncharacterized serine/threonine-protein kinase SgK494,1.64e-06
744,MAS related GPR family member X3,0.857
745,ATP binding cassette subfamily A member 13,0.982
746,adhesion G protein-coupled receptor G7,0.396
747,colony stimulating factor 3 receptor,0.536
748,chromosome 17 open reading frame 77,0.787
749,dual specificity phosphatase 5 pseudogene 1,0.19
750,diacylglycerol kinase eta,0.508
751,transmembrane protein 182,0.264
752,chromosome 16 open reading frame 46,0.0768
753,LSM family member 14B,0.0348
754,caspase 8,0.0853
755,phospholipase B1,0.373
756,chromosome 20 open reading frame 197,0.273
757,solute carrier family 5 member 3,0.00586
758,kinesin family member 19,0.00974
759,schlafen like 1,0.278
760,G protein-coupled receptor 82,0.976
761,G protein-coupled receptor 82,0.0549
762,RIB43A domain with coiled-coils 1,0.123
763,oxoglutarate receptor 1,0.716
764,"cell division cycle 14C, pseuodgene",0.564
765,sulfotransferase family 1C member 4,0.121
766,TEA domain transcription factor 1,0.271
767,uncharacterized LOC101930343///cation channel sperm associated 2 pseudogene 1///cation channel sperm associated 2,0.41
768,"POU domain class 5, transcription factor 2",0.995
769,relaxin/insulin like family peptide receptor 2,0.35
770,BEN domain containing 7,0.871
771,solute carrier family 18 member A2,0.681
772,serine rich single-pass membrane protein 1,0.00426
773,serine rich single-pass membrane protein 1,0.234
774,mab-21 like 3,0.895
775,uncharacterized LOC285696,0.0551
776,MIER family member 3,0.0278
777,SDE2 telomere maintenance homolog,0.0001
778,solute carrier family 35 member G4///solute carrier family 35 member G3///solute carrier family 35 member G5,0.412
779,urocanate hydratase 1,0.521
780,protocadherin related 15,0.403
781,trinucleotide repeat containing 6A,0.219
782,potassium voltage-gated channel subfamily A member 6,0.316
783,"nuclear transcription factor, X-box binding 1",0.00242
784,AT-rich interaction domain 2,0.00204
785,APC membrane recruitment protein 3,0.758
786,OTU deubiquitinase 7A,0.101
787,endogenous retrovirus group W member 1,0.282
788,,0.742
789,,0.631
790,,0.0985
791,long intergenic non-protein coding RNA 889,0.216
792,F-box and leucine rich repeat protein 18,0.533
793,F-box and leucine rich repeat protein 18,0.278
794,dynein axonemal heavy chain 6,0.284
795,long intergenic non-protein coding RNA 1600,0.0819
796,patatin like phospholipase domain containing 1,0.36
797,DEP domain containing 4,0.935
798,ankyrin repeat domain 23///ankyrin repeat domain 39,0.315
799,cytochrome c oxidase subunit 6B2,0.345
800,family with sequence similarity 129 member C,0.00365
801,EPH receptor A10,0.192
802,,0.0903
803,WD repeat domain 64,0.274
804,uncharacterized protein PRO2949,0.594
805,BTB domain containing 9,0.743
806,axonemal dynein light chain domain containing 1,0.944
807,HEAT repeat containing 9,0.354
808,poly(ADP-ribose) polymerase family member 15,0.108
809,Rho GTPase activating protein 42,0.899
810,long intergenic non-protein coding RNA 1101,0.252
811,major facilitator superfamily domain containing 2A,0.131
812,ATM serine/threonine kinase,0.021
813,family with sequence similarity 26 member D,0.207
814,nephronophthisis 3 (adolescent),0.356
815,autophagy related 9B,0.934
816,chromosome X open reading frame 58,0.8
817,uncharacterized LOC102724660///EF-hand calcium binding domain 3,0.0214
818,transcription factor AP-2 beta,0.154
819,CD200 receptor 1,0.537
820,coiled-coil domain containing 13,0.000526
821,coiled-coil domain containing 13,0.915
822,,0.115
823,ADP-ribosylation factor pseudogene///CRHR1 intronic transcript 1,0.329
824,ADP-ribosylation factor pseudogene///CRHR1 intronic transcript 1,0.742
825,MAS related GPR family member X1,0.58
826,hemochromatosis,0.000191
827,relaxin 3,0.639
828,CUB and Sushi multiple domains 1,0.0732
829,microtubule-actin crosslinking factor 1,0.0183
830,ADAM metallopeptidase with thrombospondin type 1 motif 20,0.324
831,ATP binding cassette subfamily C member 12,0.23
832,spalt like transcription factor 3,0.871
833,ATP/GTP binding protein like 4,0.849
834,lung cancer associated lncRNA 1,0.316
835,solute carrier family 17 member 8,0.899
836,chromosome 11 open reading frame 44,0.141
837,contactin associated protein like 5,0.043
838,SATB2 antisense RNA 1,0.233
839,"RNA binding protein, fox-1 homolog 1",0.148
840,schlafen family member 13,0.213
841,chromosome 12 open reading frame 40,0.0707
842,cilia and flagella associated protein 57,0.117
843,chromosome 5 open reading frame 64,0.551
844,ADAM metallopeptidase with thrombospondin type 1 motif 15,0.0911
845,LY86 antisense RNA 1,0.0619
846,uncharacterized protein FLJ31713,0.834
847,EDAR associated death domain,0.656
848,otoancorin-like///otoancorin pseudogene///otoancorin,0.411
849,coiled-coil domain containing 171,0.855
850,"cytochrome P450 family 4 subfamily Z member 2, pseudogene",0.41
851,chromosome 18 open reading frame 15,0.0599
852,"mucin 19, oligomeric",0.331
853,kelch domain containing 7A,0.976
854,chromosome 11 open reading frame 72,0.0106
855,,0.341
856,AQP4 antisense RNA 1,0.782
857,contactin associated protein like 4,0.103
858,contactin associated protein like 4,0.146
859,FER1L6 antisense RNA 1,0.0942
860,chromosome 1 open reading frame 127,0.0394
861,transmembrane protein FLJ37396,0.0337
862,ATP/GTP binding protein like 1,0.645
863,uncharacterized FLJ34503,0.662
864,long intergenic non-protein coding RNA 304,0.295
865,long intergenic non-protein coding RNA 304,0.822
866,telomere repeat binding bouquet formation protein 1,0.886
867,myosin IH,0.251
868,ankyrin repeat and SOCS box containing 14,0.958
869,repetin,0.244
870,,0.0693
871,long intergenic non-protein coding RNA 269,0.299
872,V-set and transmembrane domain containing 4,0.261
873,coiled-coil domain containing 150,0.7
874,chromosome 2 open reading frame 61,0.63
875,family with sequence similarity 9 member B,0.0526
876,,0.964
877,uncharacterized FLJ40288,0.379
878,carboxylesterase 5A,0.43
879,cilia and flagella associated protein 47,0.047
880,uncharacterized locus FLJ32742///DDB1 and CUL4 associated factor 8 like 2,0.139
881,"HYDIN2, axonemal central pair apparatus protein (pseudogene)",0.155
882,dynein axonemal heavy chain 17,0.547
883,solute carrier family 35 member G3,0.439
884,uncharacterized LOC150596,0.435
885,POTE ankyrin domain family member D-like,0.717
886,,0.237
887,KIRREL3 antisense RNA 3,0.771
888,transmembrane protein 145,0.0119
889,chromosome 15 open reading frame 32,0.123
890,testis specific 10 interacting protein,0.297
891,long intergenic non-protein coding RNA 477,0.348
892,coiled-coil domain containing 140,0.329
893,chromosome 17 open reading frame 78,0.839
894,tektin 5,0.0186
895,tektin 5,0.0796
896,kinase suppressor of ras 2,0.247
897,paired box 1,0.299
898,L-threonine dehydrogenase (pseudogene),0.413
899,L-threonine dehydrogenase (pseudogene),0.974
900,long intergenic non-protein coding RNA 615,0.157
901,,0.75
902,serpin family A member 9,0.405
903,F-box and leucine rich repeat protein 21 (gene/pseudogene),0.0253
904,PALM2-AKAP2 readthrough///paralemmin 2///A-kinase anchoring protein 2,0.345
905,MAS related GPR family member X4,0.0532
906,alpha-2-macroglobulin like 1,0.706
907,carboxypeptidase O,0.0824
908,G protein-coupled receptor 6,0.537
909,myelodysplastic syndrome 2 translocation associated,0.893
910,CCR4-NOT transcription complex subunit 9,0.00388
911,gap junction protein delta 3,0.389
912,homeobox C12,0.898
913,vanin 3,0.802
914,vanin 3,0.88
915,COP9 signalosome subunit 9,0.124
916,Fer3-like bHLH transcription factor,0.587
917,"defensin, theta 1 pseudogene 2///defensin, theta 1 pseudogene",0.16
918,long intergenic non-protein coding RNA 314,0.316
919,defensin beta 104B///defensin beta 104A,0.934
920,NLR family pyrin domain containing 14,0.375
921,diacylglycerol kinase beta,0.131
922,NLR family pyrin domain containing 13,0.117
923,NLR family pyrin domain containing 8,0.416
924,NLR family pyrin domain containing 9,0.224
925,TATA-box binding protein associated factor 5,0.000612
926,taste 1 receptor member 2,0.309
927,integrin subunit beta 1,3.48e-05
928,proprotein convertase subtilisin/kexin type 6,0.282
929,zinc finger protein 341,0.585
930,junctophilin 1,0.665
931,NLR family pyrin domain containing 10,0.473
932,Ran GTPase activating protein 1,0.00199
933,muscleblind like splicing regulator 2,0.093
934,keratin 73,0.849
935,cytochrome c oxidase subunit I,0.0134
936,keratin 74,0.878
937,solute carrier family 29 member 2,0.315
938,LIM homeobox transcription factor 1 alpha,0.299
939,coiled-coil domain containing 125,0.00749
940,G protein-coupled receptor 101,0.282
941,immunoglobulin like domain containing receptor 1,0.406
942,,0.441
943,,0.109
944,vomeronasal 1 receptor 2,0.824
945,vomeronasal 1 receptor 5 (gene/pseudogene),0.407
946,MTND2,0.653
947,trace amine associated receptor 8,0.889
948,taste 2 receptor member 39,0.659
949,taste 2 receptor member 38,0.508
950,taste 2 receptor member 40,0.527
951,taste 2 receptor member 41,0.141
952,transmembrane protein 171,0.685
953,vomeronasal 1 receptor 4,0.537
954,taste 2 receptor member 50,0.458
955,putative T-cell surface glycoprotein CD8 beta-2 chain-like///CD8b molecule,0.496
956,MACRO domain containing 2,0.0855
957,dimethylarginine dimethylaminohydrolase 1,0.312
958,PILR alpha associated neural protein,0.441
959,ATP synthase F0 subunit 6,0.00336
960,"histone cluster 1, H1t",0.984
961,cytochrome c oxidase subunit II,2.5e-05
962,cytochrome c oxidase subunit II,4.19e-06
963,cytoglobin,0.462
964,ephrin A2,0.149
965,interferon epsilon,0.0447
966,"NADH dehydrogenase, subunit 6 (complex I)",0.965
967,sperm associated antigen 11A///sperm associated antigen 11B,0.85
968,SREK1 interacting protein 1,3.22e-05
969,sperm associated antigen 11A///sperm associated antigen 11B,0.245
970,thyroid hormone responsive,0.208
971,chromosome X open reading frame 36,0.689
972,MAGEA10-MAGEA5 readthrough///MAGE family member A5,0.804
973,FBXL19 antisense RNA 1 (head to head),0.0752
974,"DNA polymerase epsilon 4, accessory subunit",1.34e-06
975,"SH3 domain containing kinase binding protein 1///NADH dehydrogenase, subunit 3 (complex I)",0.0214
976,PDZK1 interacting protein 1,0.154
977,family with sequence similarity 27 member E2///family with sequence similarity 27 member E3,0.884
978,breakpoint cluster region pseudogene 3,0.0232
979,breakpoint cluster region pseudogene 3,0.253
980,TAL bHLH transcription factor 2,0.0249
981,insulin like 3,0.38
982,synaptonemal complex protein 3,0.0383
983,transmembrane inner ear,0.411
984,transmembrane inner ear,0.17
985,mucin like 1,0.147
986,atlastin GTPase 2,0.000557
987,ATP binding cassette subfamily A member 13,0.08
988,ATP binding cassette subfamily A member 13,0.158
989,GRIK1 antisense RNA 2///long intergenic non-protein coding RNA 189///BTB domain and CNC homolog 1,0.831
990,long intergenic non-protein coding RNA 189,0.696
991,kelch like family member 35,0.422
